period,series,unit,value
1976,Per Capita Gross Domestic Product,Dollar,6542
1977,Per Capita Gross Domestic Product,Dollar,7033
1978,Per Capita Gross Domestic Product,Dollar,7791
1979,Per Capita Gross Domestic Product,Dollar,8870
1980,Per Capita Gross Domestic Product,Dollar,10717
1981,Per Capita Gross Domestic Product,Dollar,11984
1982,Per Capita Gross Domestic Product,Dollar,12840
1983,Per Capita Gross Domestic Product,Dollar,14195
1984,Per Capita Gross Domestic Product,Dollar,15274
1985,Per Capita Gross Domestic Product,Dollar,14935
1986,Per Capita Gross Domestic Product,Dollar,14960
1987,Per Capita Gross Domestic Product,Dollar,16415
1988,Per Capita Gross Domestic Product,Dollar,18774
1989,Per Capita Gross Domestic Product,Dollar,20918
1990,Per Capita Gross Domestic Product,Dollar,23134
1991,Per Capita Gross Domestic Product,Dollar,25053
1992,Per Capita Gross Domestic Product,Dollar,26285
1993,Per Capita Gross Domestic Product,Dollar,29553
1994,Per Capita Gross Domestic Product,Dollar,32921
1995,Per Capita Gross Domestic Product,Dollar,35314
1996,Per Capita Gross Domestic Product,Dollar,36989
1997,Per Capita Gross Domestic Product,Dollar,39163
1998,Per Capita Gross Domestic Product,Dollar,36534
1999,Per Capita Gross Domestic Product,Dollar,36945
2000,Per Capita Gross Domestic Product,Dollar,41121
2001,Per Capita Gross Domestic Product,Dollar,38880
2002,Per Capita Gross Domestic Product,Dollar,39679
2003,Per Capita Gross Domestic Product,Dollar,41343
2004,Per Capita Gross Domestic Product,Dollar,46664
2005,Per Capita Gross Domestic Product,Dollar,49867
2006,Per Capita Gross Domestic Product,Dollar,53655
2007,Per Capita Gross Domestic Product,Dollar,59429
2008,Per Capita Gross Domestic Product,Dollar,56607
2009,Per Capita Gross Domestic Product,Dollar,56619
2010,Per Capita Gross Domestic Product,Dollar,64408
2011,Per Capita Gross Domestic Product,Dollar,67783
2012,Per Capita Gross Domestic Product,Dollar,69417
2013,Per Capita Gross Domestic Product,Dollar,71283
2014,Per Capita Gross Domestic Product,Dollar,72938
2015,Per Capita Gross Domestic Product,Dollar,76503
2016,Per Capita Gross Domestic Product,Dollar,79030
2017,Per Capita Gross Domestic Product,Dollar,84838
2018,Per Capita Gross Domestic Product,Dollar,90416
2019,Per Capita Gross Domestic Product,Dollar,90128
