period,series,unit,value
1990,Total Resident Participation Rate,Per Cent,63.2
1991,Total Resident Participation Rate,Per Cent,63.7
1992,Total Resident Participation Rate,Per Cent,63.9
1993,Total Resident Participation Rate,Per Cent,63.4
1994,Total Resident Participation Rate,Per Cent,63.8
1995,Total Resident Participation Rate,Per Cent,61.9
1996,Total Resident Participation Rate,Per Cent,64.1
1997,Total Resident Participation Rate,Per Cent,63.7
1998,Total Resident Participation Rate,Per Cent,63.1
1999,Total Resident Participation Rate,Per Cent,64.1
2000,Total Resident Participation Rate,Per Cent,63.2
2001,Total Resident Participation Rate,Per Cent,64.4
2002,Total Resident Participation Rate,Per Cent,63.6
2003,Total Resident Participation Rate,Per Cent,63.2
2004,Total Resident Participation Rate,Per Cent,63.3
2005,Total Resident Participation Rate,Per Cent,63
2006,Total Resident Participation Rate,Per Cent,65
2007,Total Resident Participation Rate,Per Cent,65
2008,Total Resident Participation Rate,Per Cent,65.6
2009,Total Resident Participation Rate,Per Cent,65.4
2010,Total Resident Participation Rate,Per Cent,66.2
2011,Total Resident Participation Rate,Per Cent,66.1
2012,Total Resident Participation Rate,Per Cent,66.6
2013,Total Resident Participation Rate,Per Cent,66.7
2014,Total Resident Participation Rate,Per Cent,67
2015,Total Resident Participation Rate,Per Cent,68.3
2016,Total Resident Participation Rate,Per Cent,68
2017,Total Resident Participation Rate,Per Cent,67.7
2018,Total Resident Participation Rate,Per Cent,67.7
2019,Total Resident Participation Rate,Per Cent,68
2020,Total Resident Participation Rate,Per Cent,68.1
2021,Total Resident Participation Rate,Per Cent,70.5
2022,Total Resident Participation Rate,Per Cent,70
2023,Total Resident Participation Rate,Per Cent,68.6
2024,Total Resident Participation Rate,Per Cent,68.2
2025,Total Resident Participation Rate,Per Cent,67.9
1990,15 - 19 Years,Per Cent,25.1
1991,15 - 19 Years,Per Cent,28.5
1992,15 - 19 Years,Per Cent,27
1993,15 - 19 Years,Per Cent,23.7
1994,15 - 19 Years,Per Cent,21.6
1995,15 - 19 Years,Per Cent,16.8
1996,15 - 19 Years,Per Cent,18.8
1997,15 - 19 Years,Per Cent,15.5
1998,15 - 19 Years,Per Cent,13.5
1999,15 - 19 Years,Per Cent,16.1
2000,15 - 19 Years,Per Cent,14
2001,15 - 19 Years,Per Cent,15.8
2002,15 - 19 Years,Per Cent,11.9
2003,15 - 19 Years,Per Cent,11.5
2004,15 - 19 Years,Per Cent,12.1
2005,15 - 19 Years,Per Cent,9.8
2006,15 - 19 Years,Per Cent,12.4
2007,15 - 19 Years,Per Cent,13.6
2008,15 - 19 Years,Per Cent,12.8
2009,15 - 19 Years,Per Cent,11.8
2010,15 - 19 Years,Per Cent,15.4
2011,15 - 19 Years,Per Cent,12.3
2012,15 - 19 Years,Per Cent,12.4
2013,15 - 19 Years,Per Cent,11.8
2014,15 - 19 Years,Per Cent,12.3
2015,15 - 19 Years,Per Cent,15.8
2016,15 - 19 Years,Per Cent,15.3
2017,15 - 19 Years,Per Cent,14.2
2018,15 - 19 Years,Per Cent,15.2
2019,15 - 19 Years,Per Cent,15.1
2020,15 - 19 Years,Per Cent,13.8
2021,15 - 19 Years,Per Cent,15.7
2022,15 - 19 Years,Per Cent,15.8
2023,15 - 19 Years,Per Cent,15.7
2024,15 - 19 Years,Per Cent,12.8
2025,15 - 19 Years,Per Cent,13.4
1990,20 - 24 Years,Per Cent,79.1
1991,20 - 24 Years,Per Cent,81
1992,20 - 24 Years,Per Cent,78.8
1993,20 - 24 Years,Per Cent,78.1
1994,20 - 24 Years,Per Cent,76.7
1995,20 - 24 Years,Per Cent,74
1996,20 - 24 Years,Per Cent,74.4
1997,20 - 24 Years,Per Cent,71.7
1998,20 - 24 Years,Per Cent,68.4
1999,20 - 24 Years,Per Cent,70.7
2000,20 - 24 Years,Per Cent,66
2001,20 - 24 Years,Per Cent,68.9
2002,20 - 24 Years,Per Cent,65.2
2003,20 - 24 Years,Per Cent,67.1
2004,20 - 24 Years,Per Cent,66.9
2005,20 - 24 Years,Per Cent,61.7
2006,20 - 24 Years,Per Cent,70.7
2007,20 - 24 Years,Per Cent,66.6
2008,20 - 24 Years,Per Cent,66.5
2009,20 - 24 Years,Per Cent,63.5
2010,20 - 24 Years,Per Cent,65.8
2011,20 - 24 Years,Per Cent,62.8
2012,20 - 24 Years,Per Cent,63.6
2013,20 - 24 Years,Per Cent,61.7
2014,20 - 24 Years,Per Cent,61.8
2015,20 - 24 Years,Per Cent,65.3
2016,20 - 24 Years,Per Cent,62.3
2017,20 - 24 Years,Per Cent,62.2
2018,20 - 24 Years,Per Cent,61.3
2019,20 - 24 Years,Per Cent,61
2020,20 - 24 Years,Per Cent,56
2021,20 - 24 Years,Per Cent,62.4
2022,20 - 24 Years,Per Cent,57.3
2023,20 - 24 Years,Per Cent,55.9
2024,20 - 24 Years,Per Cent,54.3
2025,20 - 24 Years,Per Cent,54
1990,25 - 29 Years,Per Cent,84.8
1991,25 - 29 Years,Per Cent,85.2
1992,25 - 29 Years,Per Cent,86.1
1993,25 - 29 Years,Per Cent,85.7
1994,25 - 29 Years,Per Cent,86.4
1995,25 - 29 Years,Per Cent,85.5
1996,25 - 29 Years,Per Cent,87.4
1997,25 - 29 Years,Per Cent,87.5
1998,25 - 29 Years,Per Cent,86.8
1999,25 - 29 Years,Per Cent,87.1
2000,25 - 29 Years,Per Cent,88
2001,25 - 29 Years,Per Cent,88.5
2002,25 - 29 Years,Per Cent,87.9
2003,25 - 29 Years,Per Cent,88.7
2004,25 - 29 Years,Per Cent,87.9
2005,25 - 29 Years,Per Cent,87.9
2006,25 - 29 Years,Per Cent,89
2007,25 - 29 Years,Per Cent,90.1
2008,25 - 29 Years,Per Cent,88.7
2009,25 - 29 Years,Per Cent,89.3
2010,25 - 29 Years,Per Cent,89.4
2011,25 - 29 Years,Per Cent,89.2
2012,25 - 29 Years,Per Cent,88.3
2013,25 - 29 Years,Per Cent,88.5
2014,25 - 29 Years,Per Cent,89
2015,25 - 29 Years,Per Cent,90.3
2016,25 - 29 Years,Per Cent,90.3
2017,25 - 29 Years,Per Cent,90.2
2018,25 - 29 Years,Per Cent,90
2019,25 - 29 Years,Per Cent,90.1
2020,25 - 29 Years,Per Cent,90.4
2021,25 - 29 Years,Per Cent,90.4
2022,25 - 29 Years,Per Cent,89.3
2023,25 - 29 Years,Per Cent,88.5
2024,25 - 29 Years,Per Cent,90.1
2025,25 - 29 Years,Per Cent,90
1990,30 - 34 Years,Per Cent,79
1991,30 - 34 Years,Per Cent,79.5
1992,30 - 34 Years,Per Cent,81
1993,30 - 34 Years,Per Cent,80
1994,30 - 34 Years,Per Cent,80.1
1995,30 - 34 Years,Per Cent,79
1996,30 - 34 Years,Per Cent,82
1997,30 - 34 Years,Per Cent,82.2
1998,30 - 34 Years,Per Cent,82.7
1999,30 - 34 Years,Per Cent,83.4
2000,30 - 34 Years,Per Cent,83.7
2001,30 - 34 Years,Per Cent,84.2
2002,30 - 34 Years,Per Cent,84.4
2003,30 - 34 Years,Per Cent,85.8
2004,30 - 34 Years,Per Cent,85.6
2005,30 - 34 Years,Per Cent,86.5
2006,30 - 34 Years,Per Cent,87.2
2007,30 - 34 Years,Per Cent,87.9
2008,30 - 34 Years,Per Cent,88.6
2009,30 - 34 Years,Per Cent,88.3
2010,30 - 34 Years,Per Cent,89
2011,30 - 34 Years,Per Cent,88.6
2012,30 - 34 Years,Per Cent,89.8
2013,30 - 34 Years,Per Cent,90.1
2014,30 - 34 Years,Per Cent,89.9
2015,30 - 34 Years,Per Cent,90.2
2016,30 - 34 Years,Per Cent,90.8
2017,30 - 34 Years,Per Cent,91.8
2018,30 - 34 Years,Per Cent,91
2019,30 - 34 Years,Per Cent,92.3
2020,30 - 34 Years,Per Cent,92.3
2021,30 - 34 Years,Per Cent,93.4
2022,30 - 34 Years,Per Cent,93.7
2023,30 - 34 Years,Per Cent,93.4
2024,30 - 34 Years,Per Cent,94.1
2025,30 - 34 Years,Per Cent,93.4
1990,35 - 39 Years,Per Cent,76.4
1991,35 - 39 Years,Per Cent,77.6
1992,35 - 39 Years,Per Cent,77
1993,35 - 39 Years,Per Cent,77.4
1994,35 - 39 Years,Per Cent,78.1
1995,35 - 39 Years,Per Cent,77.2
1996,35 - 39 Years,Per Cent,79.1
1997,35 - 39 Years,Per Cent,78.5
1998,35 - 39 Years,Per Cent,80.2
1999,35 - 39 Years,Per Cent,79.3
2000,35 - 39 Years,Per Cent,79.8
2001,35 - 39 Years,Per Cent,80.4
2002,35 - 39 Years,Per Cent,80.2
2003,35 - 39 Years,Per Cent,81.6
2004,35 - 39 Years,Per Cent,82.1
2005,35 - 39 Years,Per Cent,82.6
2006,35 - 39 Years,Per Cent,83.8
2007,35 - 39 Years,Per Cent,84.6
2008,35 - 39 Years,Per Cent,85.6
2009,35 - 39 Years,Per Cent,85.8
2010,35 - 39 Years,Per Cent,86.2
2011,35 - 39 Years,Per Cent,87.3
2012,35 - 39 Years,Per Cent,88
2013,35 - 39 Years,Per Cent,88
2014,35 - 39 Years,Per Cent,88.8
2015,35 - 39 Years,Per Cent,89.1
2016,35 - 39 Years,Per Cent,89.7
2017,35 - 39 Years,Per Cent,89.8
2018,35 - 39 Years,Per Cent,89
2019,35 - 39 Years,Per Cent,89.6
2020,35 - 39 Years,Per Cent,90.4
2021,35 - 39 Years,Per Cent,91.2
2022,35 - 39 Years,Per Cent,91.7
2023,35 - 39 Years,Per Cent,92.3
2024,35 - 39 Years,Per Cent,92.8
2025,35 - 39 Years,Per Cent,93.3
1990,40 - 44 Years,Per Cent,75.2
1991,40 - 44 Years,Per Cent,75.9
1992,40 - 44 Years,Per Cent,76.2
1993,40 - 44 Years,Per Cent,76.4
1994,40 - 44 Years,Per Cent,76.7
1995,40 - 44 Years,Per Cent,76.1
1996,40 - 44 Years,Per Cent,77.5
1997,40 - 44 Years,Per Cent,77.9
1998,40 - 44 Years,Per Cent,78.8
1999,40 - 44 Years,Per Cent,78.8
2000,40 - 44 Years,Per Cent,78.7
2001,40 - 44 Years,Per Cent,80.1
2002,40 - 44 Years,Per Cent,80.1
2003,40 - 44 Years,Per Cent,80.1
2004,40 - 44 Years,Per Cent,80.8
2005,40 - 44 Years,Per Cent,81.2
2006,40 - 44 Years,Per Cent,82.5
2007,40 - 44 Years,Per Cent,82.9
2008,40 - 44 Years,Per Cent,83.3
2009,40 - 44 Years,Per Cent,84.4
2010,40 - 44 Years,Per Cent,84.4
2011,40 - 44 Years,Per Cent,84.9
2012,40 - 44 Years,Per Cent,85.4
2013,40 - 44 Years,Per Cent,85.7
2014,40 - 44 Years,Per Cent,87.1
2015,40 - 44 Years,Per Cent,87.6
2016,40 - 44 Years,Per Cent,88.2
2017,40 - 44 Years,Per Cent,87.7
2018,40 - 44 Years,Per Cent,88.8
2019,40 - 44 Years,Per Cent,88.7
2020,40 - 44 Years,Per Cent,89
2021,40 - 44 Years,Per Cent,90.6
2022,40 - 44 Years,Per Cent,89.8
2023,40 - 44 Years,Per Cent,90.5
2024,40 - 44 Years,Per Cent,91.1
2025,40 - 44 Years,Per Cent,91.1
1990,45 - 49 Years,Per Cent,70.3
1991,45 - 49 Years,Per Cent,70.4
1992,45 - 49 Years,Per Cent,71.5
1993,45 - 49 Years,Per Cent,73.3
1994,45 - 49 Years,Per Cent,73.9
1995,45 - 49 Years,Per Cent,73.8
1996,45 - 49 Years,Per Cent,75.8
1997,45 - 49 Years,Per Cent,76.2
1998,45 - 49 Years,Per Cent,76.5
1999,45 - 49 Years,Per Cent,78.2
2000,45 - 49 Years,Per Cent,76.9
2001,45 - 49 Years,Per Cent,78.9
2002,45 - 49 Years,Per Cent,78.2
2003,45 - 49 Years,Per Cent,77.6
2004,45 - 49 Years,Per Cent,79.2
2005,45 - 49 Years,Per Cent,78.8
2006,45 - 49 Years,Per Cent,81.4
2007,45 - 49 Years,Per Cent,80.9
2008,45 - 49 Years,Per Cent,82.8
2009,45 - 49 Years,Per Cent,82.1
2010,45 - 49 Years,Per Cent,82.4
2011,45 - 49 Years,Per Cent,83.7
2012,45 - 49 Years,Per Cent,84.4
2013,45 - 49 Years,Per Cent,84.5
2014,45 - 49 Years,Per Cent,84.7
2015,45 - 49 Years,Per Cent,85.9
2016,45 - 49 Years,Per Cent,86.3
2017,45 - 49 Years,Per Cent,86.8
2018,45 - 49 Years,Per Cent,86.5
2019,45 - 49 Years,Per Cent,87.9
2020,45 - 49 Years,Per Cent,87.4
2021,45 - 49 Years,Per Cent,88.3
2022,45 - 49 Years,Per Cent,89.1
2023,45 - 49 Years,Per Cent,89.1
2024,45 - 49 Years,Per Cent,89.1
2025,45 - 49 Years,Per Cent,88.3
1990,50 - 54 Years,Per Cent,61.9
1991,50 - 54 Years,Per Cent,63.2
1992,50 - 54 Years,Per Cent,62.5
1993,50 - 54 Years,Per Cent,63.5
1994,50 - 54 Years,Per Cent,64.3
1995,50 - 54 Years,Per Cent,64.1
1996,50 - 54 Years,Per Cent,68
1997,50 - 54 Years,Per Cent,69.1
1998,50 - 54 Years,Per Cent,68.9
1999,50 - 54 Years,Per Cent,69.5
2000,50 - 54 Years,Per Cent,69.1
2001,50 - 54 Years,Per Cent,71.4
2002,50 - 54 Years,Per Cent,72.5
2003,50 - 54 Years,Per Cent,73.1
2004,50 - 54 Years,Per Cent,73.4
2005,50 - 54 Years,Per Cent,72.3
2006,50 - 54 Years,Per Cent,76.8
2007,50 - 54 Years,Per Cent,77.3
2008,50 - 54 Years,Per Cent,77.5
2009,50 - 54 Years,Per Cent,78.1
2010,50 - 54 Years,Per Cent,78.6
2011,50 - 54 Years,Per Cent,79.7
2012,50 - 54 Years,Per Cent,79.5
2013,50 - 54 Years,Per Cent,80
2014,50 - 54 Years,Per Cent,81.8
2015,50 - 54 Years,Per Cent,82.4
2016,50 - 54 Years,Per Cent,81.4
2017,50 - 54 Years,Per Cent,82.8
2018,50 - 54 Years,Per Cent,82
2019,50 - 54 Years,Per Cent,82.3
2020,50 - 54 Years,Per Cent,82.2
2021,50 - 54 Years,Per Cent,84.8
2022,50 - 54 Years,Per Cent,84.2
2023,50 - 54 Years,Per Cent,84.2
2024,50 - 54 Years,Per Cent,86
2025,50 - 54 Years,Per Cent,85.9
1990,55 - 59 Years,Per Cent,45.4
1991,55 - 59 Years,Per Cent,46.1
1992,55 - 59 Years,Per Cent,46.9
1993,55 - 59 Years,Per Cent,47
1994,55 - 59 Years,Per Cent,49.6
1995,55 - 59 Years,Per Cent,48.7
1996,55 - 59 Years,Per Cent,52.9
1997,55 - 59 Years,Per Cent,51
1998,55 - 59 Years,Per Cent,53.4
1999,55 - 59 Years,Per Cent,54.1
2000,55 - 59 Years,Per Cent,52.4
2001,55 - 59 Years,Per Cent,55.6
2002,55 - 59 Years,Per Cent,58.7
2003,55 - 59 Years,Per Cent,57.5
2004,55 - 59 Years,Per Cent,59.1
2005,55 - 59 Years,Per Cent,57.8
2006,55 - 59 Years,Per Cent,63.5
2007,55 - 59 Years,Per Cent,66
2008,55 - 59 Years,Per Cent,66.6
2009,55 - 59 Years,Per Cent,68.4
2010,55 - 59 Years,Per Cent,68.3
2011,55 - 59 Years,Per Cent,70.2
2012,55 - 59 Years,Per Cent,72.4
2013,55 - 59 Years,Per Cent,73.2
2014,55 - 59 Years,Per Cent,74.3
2015,55 - 59 Years,Per Cent,75.5
2016,55 - 59 Years,Per Cent,75.8
2017,55 - 59 Years,Per Cent,74.9
2018,55 - 59 Years,Per Cent,75.1
2019,55 - 59 Years,Per Cent,75
2020,55 - 59 Years,Per Cent,75.9
2021,55 - 59 Years,Per Cent,77.7
2022,55 - 59 Years,Per Cent,78
2023,55 - 59 Years,Per Cent,77.1
2024,55 - 59 Years,Per Cent,77.5
2025,55 - 59 Years,Per Cent,77.7
1990,60 - 64 Years,Per Cent,31.3
1991,60 - 64 Years,Per Cent,29.9
1992,60 - 64 Years,Per Cent,30.5
1993,60 - 64 Years,Per Cent,30.4
1994,60 - 64 Years,Per Cent,30.8
1995,60 - 64 Years,Per Cent,28.6
1996,60 - 64 Years,Per Cent,31.6
1997,60 - 64 Years,Per Cent,32.4
1998,60 - 64 Years,Per Cent,30.9
1999,60 - 64 Years,Per Cent,34.8
2000,60 - 64 Years,Per Cent,32.8
2001,60 - 64 Years,Per Cent,35.6
2002,60 - 64 Years,Per Cent,35.4
2003,60 - 64 Years,Per Cent,34.2
2004,60 - 64 Years,Per Cent,35.1
2005,60 - 64 Years,Per Cent,36.6
2006,60 - 64 Years,Per Cent,43.9
2007,60 - 64 Years,Per Cent,46.7
2008,60 - 64 Years,Per Cent,48.8
2009,60 - 64 Years,Per Cent,50.6
2010,60 - 64 Years,Per Cent,51
2011,60 - 64 Years,Per Cent,54.7
2012,60 - 64 Years,Per Cent,58.1
2013,60 - 64 Years,Per Cent,59.7
2014,60 - 64 Years,Per Cent,61.2
2015,60 - 64 Years,Per Cent,62.4
2016,60 - 64 Years,Per Cent,62.8
2017,60 - 64 Years,Per Cent,63.6
2018,60 - 64 Years,Per Cent,62.2
2019,60 - 64 Years,Per Cent,63.9
2020,60 - 64 Years,Per Cent,65
2021,60 - 64 Years,Per Cent,65.9
2022,60 - 64 Years,Per Cent,67.5
2023,60 - 64 Years,Per Cent,66.6
2024,60 - 64 Years,Per Cent,67.9
2025,60 - 64 Years,Per Cent,68.4
1990,65 - 69 Years,Per Cent,22.2
1991,65 - 69 Years,Per Cent,17.5
1992,65 - 69 Years,Per Cent,20.7
1993,65 - 69 Years,Per Cent,19.1
1994,65 - 69 Years,Per Cent,20.4
1995,65 - 69 Years,Per Cent,17.7
1996,65 - 69 Years,Per Cent,20.9
1997,65 - 69 Years,Per Cent,20.9
1998,65 - 69 Years,Per Cent,18.2
1999,65 - 69 Years,Per Cent,20.5
2000,65 - 69 Years,Per Cent,18.6
2001,65 - 69 Years,Per Cent,20.7
2002,65 - 69 Years,Per Cent,19.6
2003,65 - 69 Years,Per Cent,19.5
2004,65 - 69 Years,Per Cent,18.9
2005,65 - 69 Years,Per Cent,20.7
2006,65 - 69 Years,Per Cent,25.3
2007,65 - 69 Years,Per Cent,26.6
2008,65 - 69 Years,Per Cent,27.5
2009,65 - 69 Years,Per Cent,29.9
2010,65 - 69 Years,Per Cent,30.9
2011,65 - 69 Years,Per Cent,36.2
2012,65 - 69 Years,Per Cent,38.6
2013,65 - 69 Years,Per Cent,40.2
2014,65 - 69 Years,Per Cent,41.2
2015,65 - 69 Years,Per Cent,42.2
2016,65 - 69 Years,Per Cent,43.2
2017,65 - 69 Years,Per Cent,43.4
2018,65 - 69 Years,Per Cent,45.3
2019,65 - 69 Years,Per Cent,46.1
2020,65 - 69 Years,Per Cent,48.7
2021,65 - 69 Years,Per Cent,50.9
2022,65 - 69 Years,Per Cent,49.4
2023,65 - 69 Years,Per Cent,49.6
2024,65 - 69 Years,Per Cent,50.5
2025,65 - 69 Years,Per Cent,50.2
1990,70 - 74 Years,Per Cent,14
1991,70 - 74 Years,Per Cent,10.3
1992,70 - 74 Years,Per Cent,12.1
1993,70 - 74 Years,Per Cent,12
1994,70 - 74 Years,Per Cent,12.7
1995,70 - 74 Years,Per Cent,9.5
1996,70 - 74 Years,Per Cent,11.6
1997,70 - 74 Years,Per Cent,10
1998,70 - 74 Years,Per Cent,10.6
1999,70 - 74 Years,Per Cent,11.3
2000,70 - 74 Years,Per Cent,9.4
2001,70 - 74 Years,Per Cent,10.6
2002,70 - 74 Years,Per Cent,10.1
2003,70 - 74 Years,Per Cent,10.2
2004,70 - 74 Years,Per Cent,8.9
2005,70 - 74 Years,Per Cent,9.7
2006,70 - 74 Years,Per Cent,13.2
2007,70 - 74 Years,Per Cent,12.2
2008,70 - 74 Years,Per Cent,15.1
2009,70 - 74 Years,Per Cent,16.8
2010,70 - 74 Years,Per Cent,18.7
2011,70 - 74 Years,Per Cent,20.4
2012,70 - 74 Years,Per Cent,21.9
2013,70 - 74 Years,Per Cent,24.2
2014,70 - 74 Years,Per Cent,25.7
2015,70 - 74 Years,Per Cent,24.9
2016,70 - 74 Years,Per Cent,26.8
2017,70 - 74 Years,Per Cent,28
2018,70 - 74 Years,Per Cent,28.3
2019,70 - 74 Years,Per Cent,28.8
2020,70 - 74 Years,Per Cent,31
2021,70 - 74 Years,Per Cent,31.8
2022,70 - 74 Years,Per Cent,33.3
2023,70 - 74 Years,Per Cent,32.9
2024,70 - 74 Years,Per Cent,35
2025,70 - 74 Years,Per Cent,33.6
1990,75 Years & Over,Per Cent,6.6
1991,75 Years & Over,Per Cent,4.8
1992,75 Years & Over,Per Cent,4.7
1993,75 Years & Over,Per Cent,4.7
1994,75 Years & Over,Per Cent,5.6
1995,75 Years & Over,Per Cent,3.5
1996,75 Years & Over,Per Cent,4.5
1997,75 Years & Over,Per Cent,4
1998,75 Years & Over,Per Cent,3
1999,75 Years & Over,Per Cent,4.8
2000,75 Years & Over,Per Cent,3.3
2001,75 Years & Over,Per Cent,4
2002,75 Years & Over,Per Cent,4.2
2003,75 Years & Over,Per Cent,3.4
2004,75 Years & Over,Per Cent,2.6
2005,75 Years & Over,Per Cent,3.4
2006,75 Years & Over,Per Cent,3.9
2007,75 Years & Over,Per Cent,5
2008,75 Years & Over,Per Cent,5.4
2009,75 Years & Over,Per Cent,5.7
2010,75 Years & Over,Per Cent,5.4
2011,75 Years & Over,Per Cent,6.4
2012,75 Years & Over,Per Cent,6.7
2013,75 Years & Over,Per Cent,7.6
2014,75 Years & Over,Per Cent,8.4
2015,75 Years & Over,Per Cent,8.8
2016,75 Years & Over,Per Cent,8.4
2017,75 Years & Over,Per Cent,9.1
2018,75 Years & Over,Per Cent,9.4
2019,75 Years & Over,Per Cent,9.5
2020,75 Years & Over,Per Cent,10.2
2021,75 Years & Over,Per Cent,11.8
2022,75 Years & Over,Per Cent,12.1
2023,75 Years & Over,Per Cent,11.8
2024,75 Years & Over,Per Cent,13.8
2025,75 Years & Over,Per Cent,15
1990,65 Years & Over,Per Cent,14.3
1991,65 Years & Over,Per Cent,11.1
1992,65 Years & Over,Per Cent,12.8
1993,65 Years & Over,Per Cent,12.3
1994,65 Years & Over,Per Cent,13.4
1995,65 Years & Over,Per Cent,10.6
1996,65 Years & Over,Per Cent,12.7
1997,65 Years & Over,Per Cent,12.1
1998,65 Years & Over,Per Cent,10.7
1999,65 Years & Over,Per Cent,12.4
2000,65 Years & Over,Per Cent,10.8
2001,65 Years & Over,Per Cent,11.8
2002,65 Years & Over,Per Cent,11.5
2003,65 Years & Over,Per Cent,11.2
2004,65 Years & Over,Per Cent,10.4
2005,65 Years & Over,Per Cent,11.4
2006,65 Years & Over,Per Cent,14.3
2007,65 Years & Over,Per Cent,14.8
2008,65 Years & Over,Per Cent,16.1
2009,65 Years & Over,Per Cent,17.2
2010,65 Years & Over,Per Cent,17.6
2011,65 Years & Over,Per Cent,20.4
2012,65 Years & Over,Per Cent,22
2013,65 Years & Over,Per Cent,23.8
2014,65 Years & Over,Per Cent,25.2
2015,65 Years & Over,Per Cent,25.8
2016,65 Years & Over,Per Cent,26.5
2017,65 Years & Over,Per Cent,26.8
2018,65 Years & Over,Per Cent,27.8
2019,65 Years & Over,Per Cent,28.7
2020,65 Years & Over,Per Cent,30.1
2021,65 Years & Over,Per Cent,32.9
2022,65 Years & Over,Per Cent,32.1
2023,65 Years & Over,Per Cent,31.5
2024,65 Years & Over,Per Cent,32.5
2025,65 Years & Over,Per Cent,32.3
2000,15 - 24 Years,Per Cent,39.3
2001,15 - 24 Years,Per Cent,41.4
2002,15 - 24 Years,Per Cent,38.1
2003,15 - 24 Years,Per Cent,38
2004,15 - 24 Years,Per Cent,38.1
2005,15 - 24 Years,Per Cent,34.1
2006,15 - 24 Years,Per Cent,38.9
2007,15 - 24 Years,Per Cent,36.9
2008,15 - 24 Years,Per Cent,37.1
2009,15 - 24 Years,Per Cent,35.6
2010,15 - 24 Years,Per Cent,39.2
2011,15 - 24 Years,Per Cent,36.7
2012,15 - 24 Years,Per Cent,37.8
2013,15 - 24 Years,Per Cent,36.2
2014,15 - 24 Years,Per Cent,37.5
2015,15 - 24 Years,Per Cent,40.6
2016,15 - 24 Years,Per Cent,39.4
2017,15 - 24 Years,Per Cent,38.2
2018,15 - 24 Years,Per Cent,38.1
2019,15 - 24 Years,Per Cent,38.3
2020,15 - 24 Years,Per Cent,36
2021,15 - 24 Years,Per Cent,41.3
2022,15 - 24 Years,Per Cent,37.7
2023,15 - 24 Years,Per Cent,36.5
2024,15 - 24 Years,Per Cent,33.7
2025,15 - 24 Years,Per Cent,33.7
2000,25 - 64 Years,Per Cent,75.1
2001,25 - 64 Years,Per Cent,76.2
2002,25 - 64 Years,Per Cent,75.9
2003,25 - 64 Years,Per Cent,76
2004,25 - 64 Years,Per Cent,76.4
2005,25 - 64 Years,Per Cent,76.6
2006,25 - 64 Years,Per Cent,78.7
2007,25 - 64 Years,Per Cent,79.2
2008,25 - 64 Years,Per Cent,79.7
2009,25 - 64 Years,Per Cent,79.9
2010,25 - 64 Years,Per Cent,80
2011,25 - 64 Years,Per Cent,80.7
2012,25 - 64 Years,Per Cent,81.4
2013,25 - 64 Years,Per Cent,81.7
2014,25 - 64 Years,Per Cent,82.3
2015,25 - 64 Years,Per Cent,83.1
2016,25 - 64 Years,Per Cent,83.3
2017,25 - 64 Years,Per Cent,83.6
2018,25 - 64 Years,Per Cent,83.1
2019,25 - 64 Years,Per Cent,83.8
2020,25 - 64 Years,Per Cent,84.1
2021,25 - 64 Years,Per Cent,85.4
2022,25 - 64 Years,Per Cent,85.5
2023,25 - 64 Years,Per Cent,85.2
2024,25 - 64 Years,Per Cent,86
2025,25 - 64 Years,Per Cent,85.9
1990,Male Resident Participation Rate,Per Cent,77.5
1991,Male Resident Participation Rate,Per Cent,79.4
1992,Male Resident Participation Rate,Per Cent,79.4
1993,Male Resident Participation Rate,Per Cent,78.8
1994,Male Resident Participation Rate,Per Cent,79.2
1995,Male Resident Participation Rate,Per Cent,77.2
1996,Male Resident Participation Rate,Per Cent,78.7
1997,Male Resident Participation Rate,Per Cent,78.2
1998,Male Resident Participation Rate,Per Cent,77.4
1999,Male Resident Participation Rate,Per Cent,77.8
2000,Male Resident Participation Rate,Per Cent,76.6
2001,Male Resident Participation Rate,Per Cent,77.7
2002,Male Resident Participation Rate,Per Cent,77.2
2003,Male Resident Participation Rate,Per Cent,76.1
2004,Male Resident Participation Rate,Per Cent,75.7
2005,Male Resident Participation Rate,Per Cent,74.4
2006,Male Resident Participation Rate,Per Cent,76.2
2007,Male Resident Participation Rate,Per Cent,76.3
2008,Male Resident Participation Rate,Per Cent,76.1
2009,Male Resident Participation Rate,Per Cent,76.3
2010,Male Resident Participation Rate,Per Cent,76.5
2011,Male Resident Participation Rate,Per Cent,75.6
2012,Male Resident Participation Rate,Per Cent,76
2013,Male Resident Participation Rate,Per Cent,75.8
2014,Male Resident Participation Rate,Per Cent,75.9
2015,Male Resident Participation Rate,Per Cent,76.7
2016,Male Resident Participation Rate,Per Cent,76.2
2017,Male Resident Participation Rate,Per Cent,76
2018,Male Resident Participation Rate,Per Cent,75.6
2019,Male Resident Participation Rate,Per Cent,75.4
2020,Male Resident Participation Rate,Per Cent,75.4
2021,Male Resident Participation Rate,Per Cent,77.2
2022,Male Resident Participation Rate,Per Cent,77
2023,Male Resident Participation Rate,Per Cent,74.9
2024,Male Resident Participation Rate,Per Cent,74
2025,Male Resident Participation Rate,Per Cent,73.6
1990,15 - 19 Years,Per Cent,25.5
1991,15 - 19 Years,Per Cent,30
1992,15 - 19 Years,Per Cent,28.6
1993,15 - 19 Years,Per Cent,23.9
1994,15 - 19 Years,Per Cent,22.5
1995,15 - 19 Years,Per Cent,18.6
1996,15 - 19 Years,Per Cent,21.5
