period,series,unit,value
2025,Highest Qualification Attained: Secondary,Per Cent,2.9
1992,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,1.6
1993,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,1.2
1994,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,1.4
1995,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,1.5
1996,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,1.5
1997,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,1.6
1998,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,1.9
1999,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,2.9
2000,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,2.4
2001,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,2.9
2002,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.8
2003,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,4.2
2004,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.8
2005,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,4.1
2006,Highest Qualification Attained: Post-Secondary (Non-Tertiary),Per Cent,3.5
