period,series,unit,value
2010,50 Years & Over,Per Cent,0.8
2011,50 Years & Over,Per Cent,0.8
2012,50 Years & Over,Per Cent,0.8
2013,50 Years & Over,Per Cent,0.7
2014,50 Years & Over,Per Cent,0.8
2015,50 Years & Over,Per Cent,0.7
2016,50 Years & Over,Per Cent,1
2017,50 Years & Over,Per Cent,0.8
2018,50 Years & Over,Per Cent,0.9
2019,50 Years & Over,Per Cent,1
2020,50 Years & Over,Per Cent,1.1
2021,50 Years & Over,Per Cent,1.3
2022,50 Years & Over,Per Cent,1
2023,50 Years & Over,Per Cent,0.8
2024,50 Years & Over,Per Cent,0.9
1992,50 - 59 Years,Per Cent,0.3
1993,50 - 59 Years,Per Cent,0.4
1994,50 - 59 Years,Per Cent,0.4
1995,50 - 59 Years,Per Cent,0.4
1996,50 - 59 Years,Per Cent,0.6
1997,50 - 59 Years,Per Cent,0.4
1998,50 - 59 Years,Per Cent,1.1
1999,50 - 59 Years,Per Cent,1.6
2000,50 - 59 Years,Per Cent,na
2001,50 - 59 Years,Per Cent,1.4
2002,50 - 59 Years,Per Cent,1.8
2003,50 - 59 Years,Per Cent,1.9
2004,50 - 59 Years,Per Cent,2.1
2005,50 - 59 Years,Per Cent,1.8
2006,50 - 59 Years,Per Cent,1.2
2007,50 - 59 Years,Per Cent,0.7
2008,50 - 59 Years,Per Cent,0.7
2009,50 - 59 Years,Per Cent,1.1
2010,50 - 59 Years,Per Cent,0.8
2011,50 - 59 Years,Per Cent,0.8
2012,50 - 59 Years,Per Cent,0.7
2013,50 - 59 Years,Per Cent,0.7
2014,50 - 59 Years,Per Cent,0.7
2015,50 - 59 Years,Per Cent,0.7
2016,50 - 59 Years,Per Cent,0.9
2017,50 - 59 Years,Per Cent,0.9
2018,50 - 59 Years,Per Cent,1
2019,50 - 59 Years,Per Cent,1
2020,50 - 59 Years,Per Cent,1.1
2021,50 - 59 Years,Per Cent,1.2
2022,50 - 59 Years,Per Cent,0.9
2023,50 - 59 Years,Per Cent,0.9
2024,50 - 59 Years,Per Cent,1
1992,60 Years & Over,Per Cent,0.2
1993,60 Years & Over,Per Cent,0.2
1994,60 Years & Over,Per Cent,0.1
1995,60 Years & Over,Per Cent,0.2
1996,60 Years & Over,Per Cent,0.3
1997,60 Years & Over,Per Cent,0.3
1998,60 Years & Over,Per Cent,0.3
1999,60 Years & Over,Per Cent,1.2
2000,60 Years & Over,Per Cent,na
2001,60 Years & Over,Per Cent,1
2002,60 Years & Over,Per Cent,1
2003,60 Years & Over,Per Cent,1.1
2004,60 Years & Over,Per Cent,1.3
2005,60 Years & Over,Per Cent,1.5
2006,60 Years & Over,Per Cent,0.7
2007,60 Years & Over,Per Cent,1.1
2008,60 Years & Over,Per Cent,0.5
2009,60 Years & Over,Per Cent,1.2
2010,60 Years & Over,Per Cent,0.9
2011,60 Years & Over,Per Cent,0.9
2012,60 Years & Over,Per Cent,1
2013,60 Years & Over,Per Cent,0.8
2014,60 Years & Over,Per Cent,0.9
2015,60 Years & Over,Per Cent,0.7
2016,60 Years & Over,Per Cent,1
2017,60 Years & Over,Per Cent,0.7
2018,60 Years & Over,Per Cent,0.8
2019,60 Years & Over,Per Cent,0.8
2020,60 Years & Over,Per Cent,1
2021,60 Years & Over,Per Cent,1.4
2022,60 Years & Over,Per Cent,1
2023,60 Years & Over,Per Cent,0.7
2024,60 Years & Over,Per Cent,0.8
1992,Below Secondary,Per Cent,0.4
1993,Below Secondary,Per Cent,0.4
1994,Below Secondary,Per Cent,0.4
1995,Below Secondary,Per Cent,0.4
1996,Below Secondary,Per Cent,0.4
1997,Below Secondary,Per Cent,0.4
1998,Below Secondary,Per Cent,1.1
1999,Below Secondary,Per Cent,1.7
2000,Below Secondary,Per Cent,na
2001,Below Secondary,Per Cent,1.4
2002,Below Secondary,Per Cent,1.8
2003,Below Secondary,Per Cent,1.8
2004,Below Secondary,Per Cent,1.7
2005,Below Secondary,Per Cent,1.5
2006,Below Secondary,Per Cent,0.9
2007,Below Secondary,Per Cent,0.6
2008,Below Secondary,Per Cent,0.7
2009,Below Secondary,Per Cent,1.1
2010,Below Secondary,Per Cent,0.8
2011,Below Secondary,Per Cent,0.6
2012,Below Secondary,Per Cent,0.6
2013,Below Secondary,Per Cent,0.5
2014,Below Secondary,Per Cent,0.5
2015,Below Secondary,Per Cent,0.4
2016,Below Secondary,Per Cent,0.6
2017,Below Secondary,Per Cent,0.6
2018,Below Secondary,Per Cent,0.5
2019,Below Secondary,Per Cent,0.7
2020,Below Secondary,Per Cent,0.8
2021,Below Secondary,Per Cent,0.9
2022,Below Secondary,Per Cent,0.6
2023,Below Secondary,Per Cent,0.5
2024,Below Secondary,Per Cent,0.5
1992,Secondary,Per Cent,0.3
1993,Secondary,Per Cent,0.3
1994,Secondary,Per Cent,0.3
1995,Secondary,Per Cent,0.3
1996,Secondary,Per Cent,0.4
1997,Secondary,Per Cent,0.5
1998,Secondary,Per Cent,0.7
1999,Secondary,Per Cent,1.1
2000,Secondary,Per Cent,na
2001,Secondary,Per Cent,0.8
2002,Secondary,Per Cent,1.5
2003,Secondary,Per Cent,1.4
2004,Secondary,Per Cent,1.4
2005,Secondary,Per Cent,1.2
2006,Secondary,Per Cent,0.8
2007,Secondary,Per Cent,0.7
2008,Secondary,Per Cent,0.5
2009,Secondary,Per Cent,1.1
2010,Secondary,Per Cent,0.7
2011,Secondary,Per Cent,0.7
2012,Secondary,Per Cent,0.6
2013,Secondary,Per Cent,0.6
2014,Secondary,Per Cent,0.5
2015,Secondary,Per Cent,0.5
2016,Secondary,Per Cent,0.7
2017,Secondary,Per Cent,0.5
2018,Secondary,Per Cent,0.6
2019,Secondary,Per Cent,0.8
2020,Secondary,Per Cent,1
2021,Secondary,Per Cent,1.2
