period,series,unit,value,month
1990 Mar,Food Excl Food & Beverage Serving Services,Index,49.469,1990-03-01
1990 Apr,Food Excl Food & Beverage Serving Services,Index,50.164,1990-04-01
1990 May,Food Excl Food & Beverage Serving Services,Index,50.479,1990-05-01
1990 Jun,Food Excl Food & Beverage Serving Services,Index,50.393,1990-06-01
1990 Jul,Food Excl Food & Beverage Serving Services,Index,49.868,1990-07-01
1990 Aug,Food Excl Food & Beverage Serving Services,Index,49.748,1990-08-01
1990 Sep,Food Excl Food & Beverage Serving Services,Index,49.138,1990-09-01
1990 Oct,Food Excl Food & Beverage Serving Services,Index,49.021,1990-10-01
1990 Nov,Food Excl Food & Beverage Serving Services,Index,49.391,1990-11-01
1990 Dec,Food Excl Food & Beverage Serving Services,Index,50.188,1990-12-01
1991 Jan,Food Excl Food & Beverage Serving Services,Index,49.312,1991-01-01
1991 Feb,Food Excl Food & Beverage Serving Services,Index,50.578,1991-02-01
1991 Mar,Food Excl Food & Beverage Serving Services,Index,49.66,1991-03-01
1991 Apr,Food Excl Food & Beverage Serving Services,Index,50.366,1991-04-01
1991 May,Food Excl Food & Beverage Serving Services,Index,50.893,1991-05-01
1991 Jun,Food Excl Food & Beverage Serving Services,Index,50.8,1991-06-01
1991 Jul,Food Excl Food & Beverage Serving Services,Index,50.51,1991-07-01
1991 Aug,Food Excl Food & Beverage Serving Services,Index,50.669,1991-08-01
1991 Sep,Food Excl Food & Beverage Serving Services,Index,50.141,1991-09-01
1991 Oct,Food Excl Food & Beverage Serving Services,Index,50.038,1991-10-01
1991 Nov,Food Excl Food & Beverage Serving Services,Index,50.342,1991-11-01
1991 Dec,Food Excl Food & Beverage Serving Services,Index,51.911,1991-12-01
1992 Jan,Food Excl Food & Beverage Serving Services,Index,51.152,1992-01-01
1992 Feb,Food Excl Food & Beverage Serving Services,Index,51.227,1992-02-01
1992 Mar,Food Excl Food & Beverage Serving Services,Index,50.538,1992-03-01
1992 Apr,Food Excl Food & Beverage Serving Services,Index,50.773,1992-04-01
1992 May,Food Excl Food & Beverage Serving Services,Index,51.318,1992-05-01
1992 Jun,Food Excl Food & Beverage Serving Services,Index,51.214,1992-06-01
1992 Jul,Food Excl Food & Beverage Serving Services,Index,51.53,1992-07-01
1992 Aug,Food Excl Food & Beverage Serving Services,Index,50.992,1992-08-01
1992 Sep,Food Excl Food & Beverage Serving Services,Index,50.701,1992-09-01
1992 Oct,Food Excl Food & Beverage Serving Services,Index,50.562,1992-10-01
1992 Nov,Food Excl Food & Beverage Serving Services,Index,50.616,1992-11-01
1992 Dec,Food Excl Food & Beverage Serving Services,Index,50.985,1992-12-01
1993 Jan,Food Excl Food & Beverage Serving Services,Index,52.32,1993-01-01
1993 Feb,Food Excl Food & Beverage Serving Services,Index,50.642,1993-02-01
1993 Mar,Food Excl Food & Beverage Serving Services,Index,50.5,1993-03-01
1993 Apr,Food Excl Food & Beverage Serving Services,Index,50.739,1993-04-01
1993 May,Food Excl Food & Beverage Serving Services,Index,51.211,1993-05-01
1993 Jun,Food Excl Food & Beverage Serving Services,Index,50.668,1993-06-01
1993 Jul,Food Excl Food & Beverage Serving Services,Index,51.138,1993-07-01
1993 Aug,Food Excl Food & Beverage Serving Services,Index,50.717,1993-08-01
1993 Sep,Food Excl Food & Beverage Serving Services,Index,50.291,1993-09-01
1993 Oct,Food Excl Food & Beverage Serving Services,Index,50.62,1993-10-01
1993 Nov,Food Excl Food & Beverage Serving Services,Index,51.085,1993-11-01
1993 Dec,Food Excl Food & Beverage Serving Services,Index,51.443,1993-12-01
1994 Jan,Food Excl Food & Beverage Serving Services,Index,51.338,1994-01-01
1994 Feb,Food Excl Food & Beverage Serving Services,Index,53.178,1994-02-01
1994 Mar,Food Excl Food & Beverage Serving Services,Index,52.049,1994-03-01
1994 Apr,Food Excl Food & Beverage Serving Services,Index,51.487,1994-04-01
1994 May,Food Excl Food & Beverage Serving Services,Index,52.385,1994-05-01
1994 Jun,Food Excl Food & Beverage Serving Services,Index,52.751,1994-06-01
1994 Jul,Food Excl Food & Beverage Serving Services,Index,52.857,1994-07-01
1994 Aug,Food Excl Food & Beverage Serving Services,Index,52.586,1994-08-01
1994 Sep,Food Excl Food & Beverage Serving Services,Index,52.624,1994-09-01
1994 Oct,Food Excl Food & Beverage Serving Services,Index,52.883,1994-10-01
1994 Nov,Food Excl Food & Beverage Serving Services,Index,53.056,1994-11-01
1994 Dec,Food Excl Food & Beverage Serving Services,Index,52.907,1994-12-01
1995 Jan,Food Excl Food & Beverage Serving Services,Index,54.059,1995-01-01
1995 Feb,Food Excl Food & Beverage Serving Services,Index,54.637,1995-02-01
1995 Mar,Food Excl Food & Beverage Serving Services,Index,52.948,1995-03-01
1995 Apr,Food Excl Food & Beverage Serving Services,Index,53.015,1995-04-01
1995 May,Food Excl Food & Beverage Serving Services,Index,53.018,1995-05-01
1995 Jun,Food Excl Food & Beverage Serving Services,Index,52.584,1995-06-01
1995 Jul,Food Excl Food & Beverage Serving Services,Index,53.645,1995-07-01
1995 Aug,Food Excl Food & Beverage Serving Services,Index,53.795,1995-08-01
1995 Sep,Food Excl Food & Beverage Serving Services,Index,53.06,1995-09-01
1995 Oct,Food Excl Food & Beverage Serving Services,Index,52.812,1995-10-01
1995 Nov,Food Excl Food & Beverage Serving Services,Index,53.274,1995-11-01
1995 Dec,Food Excl Food & Beverage Serving Services,Index,52.765,1995-12-01
1996 Jan,Food Excl Food & Beverage Serving Services,Index,53.11,1996-01-01
1996 Feb,Food Excl Food & Beverage Serving Services,Index,54.917,1996-02-01
1996 Mar,Food Excl Food & Beverage Serving Services,Index,52.993,1996-03-01
1996 Apr,Food Excl Food & Beverage Serving Services,Index,53.499,1996-04-01
1996 May,Food Excl Food & Beverage Serving Services,Index,54.14,1996-05-01
1996 Jun,Food Excl Food & Beverage Serving Services,Index,54.126,1996-06-01
1996 Jul,Food Excl Food & Beverage Serving Services,Index,54.621,1996-07-01
1996 Aug,Food Excl Food & Beverage Serving Services,Index,54.643,1996-08-01
1996 Sep,Food Excl Food & Beverage Serving Services,Index,54.37,1996-09-01
1996 Oct,Food Excl Food & Beverage Serving Services,Index,54.704,1996-10-01
1996 Nov,Food Excl Food & Beverage Serving Services,Index,54.292,1996-11-01
1996 Dec,Food Excl Food & Beverage Serving Services,Index,54.644,1996-12-01
1997 Jan,Food Excl Food & Beverage Serving Services,Index,54.766,1997-01-01
1997 Feb,Food Excl Food & Beverage Serving Services,Index,56.775,1997-02-01
1997 Mar,Food Excl Food & Beverage Serving Services,Index,55.238,1997-03-01
1997 Apr,Food Excl Food & Beverage Serving Services,Index,55.251,1997-04-01
1997 May,Food Excl Food & Beverage Serving Services,Index,55.453,1997-05-01
1997 Jun,Food Excl Food & Beverage Serving Services,Index,55.379,1997-06-01
1997 Jul,Food Excl Food & Beverage Serving Services,Index,55.502,1997-07-01
1997 Aug,Food Excl Food & Beverage Serving Services,Index,55.617,1997-08-01
1997 Sep,Food Excl Food & Beverage Serving Services,Index,55.644,1997-09-01
1997 Oct,Food Excl Food & Beverage Serving Services,Index,55.381,1997-10-01
1997 Nov,Food Excl Food & Beverage Serving Services,Index,55.299,1997-11-01
1997 Dec,Food Excl Food & Beverage Serving Services,Index,55.226,1997-12-01
1998 Jan,Food Excl Food & Beverage Serving Services,Index,55.955,1998-01-01
1998 Feb,Food Excl Food & Beverage Serving Services,Index,55.508,1998-02-01
1998 Mar,Food Excl Food & Beverage Serving Services,Index,54.845,1998-03-01
1998 Apr,Food Excl Food & Beverage Serving Services,Index,54.817,1998-04-01
1998 May,Food Excl Food & Beverage Serving Services,Index,55.275,1998-05-01
1998 Jun,Food Excl Food & Beverage Serving Services,Index,54.977,1998-06-01
1998 Jul,Food Excl Food & Beverage Serving Services,Index,54.802,1998-07-01
1998 Aug,Food Excl Food & Beverage Serving Services,Index,54.605,1998-08-01
1998 Sep,Food Excl Food & Beverage Serving Services,Index,54.577,1998-09-01
1998 Oct,Food Excl Food & Beverage Serving Services,Index,54.389,1998-10-01
1998 Nov,Food Excl Food & Beverage Serving Services,Index,54.775,1998-11-01
1998 Dec,Food Excl Food & Beverage Serving Services,Index,54.093,1998-12-01
1999 Jan,Food Excl Food & Beverage Serving Services,Index,55.303,1999-01-01
1999 Feb,Food Excl Food & Beverage Serving Services,Index,55.49,1999-02-01
1999 Mar,Food Excl Food & Beverage Serving Services,Index,54.499,1999-03-01
1999 Apr,Food Excl Food & Beverage Serving Services,Index,55.561,1999-04-01
1999 May,Food Excl Food & Beverage Serving Services,Index,55.845,1999-05-01
1999 Jun,Food Excl Food & Beverage Serving Services,Index,55.925,1999-06-01
1999 Jul,Food Excl Food & Beverage Serving Services,Index,56.115,1999-07-01
1999 Aug,Food Excl Food & Beverage Serving Services,Index,55.798,1999-08-01
1999 Sep,Food Excl Food & Beverage Serving Services,Index,55.517,1999-09-01
1999 Oct,Food Excl Food & Beverage Serving Services,Index,55.524,1999-10-01
1999 Nov,Food Excl Food & Beverage Serving Services,Index,55.676,1999-11-01
1999 Dec,Food Excl Food & Beverage Serving Services,Index,55.657,1999-12-01
2000 Jan,Food Excl Food & Beverage Serving Services,Index,56.51,2000-01-01
2000 Feb,Food Excl Food & Beverage Serving Services,Index,57.843,2000-02-01
2000 Mar,Food Excl Food & Beverage Serving Services,Index,55.9,2000-03-01
2000 Apr,Food Excl Food & Beverage Serving Services,Index,55.876,2000-04-01
2000 May,Food Excl Food & Beverage Serving Services,Index,55.903,2000-05-01
2000 Jun,Food Excl Food & Beverage Serving Services,Index,55.916,2000-06-01
2000 Jul,Food Excl Food & Beverage Serving Services,Index,55.605,2000-07-01
2000 Aug,Food Excl Food & Beverage Serving Services,Index,55.816,2000-08-01
2000 Sep,Food Excl Food & Beverage Serving Services,Index,55.214,2000-09-01
2000 Oct,Food Excl Food & Beverage Serving Services,Index,55.149,2000-10-01
2000 Nov,Food Excl Food & Beverage Serving Services,Index,55.29,2000-11-01
2000 Dec,Food Excl Food & Beverage Serving Services,Index,55.489,2000-12-01
2001 Jan,Food Excl Food & Beverage Serving Services,Index,57.739,2001-01-01
2001 Feb,Food Excl Food & Beverage Serving Services,Index,56.153,2001-02-01
2001 Mar,Food Excl Food & Beverage Serving Services,Index,55.392,2001-03-01
2001 Apr,Food Excl Food & Beverage Serving Services,Index,55.766,2001-04-01
2001 May,Food Excl Food & Beverage Serving Services,Index,55.848,2001-05-01
2001 Jun,Food Excl Food & Beverage Serving Services,Index,55.614,2001-06-01
2001 Jul,Food Excl Food & Beverage Serving Services,Index,55.583,2001-07-01
2001 Aug,Food Excl Food & Beverage Serving Services,Index,55.603,2001-08-01
2001 Sep,Food Excl Food & Beverage Serving Services,Index,55.141,2001-09-01
2001 Oct,Food Excl Food & Beverage Serving Services,Index,55.036,2001-10-01
2001 Nov,Food Excl Food & Beverage Serving Services,Index,55.348,2001-11-01
2001 Dec,Food Excl Food & Beverage Serving Services,Index,54.682,2001-12-01
2002 Jan,Food Excl Food & Beverage Serving Services,Index,55.568,2002-01-01
2002 Feb,Food Excl Food & Beverage Serving Services,Index,56.321,2002-02-01
2002 Mar,Food Excl Food & Beverage Serving Services,Index,54.778,2002-03-01
2002 Apr,Food Excl Food & Beverage Serving Services,Index,54.927,2002-04-01
2002 May,Food Excl Food & Beverage Serving Services,Index,55.185,2002-05-01
2002 Jun,Food Excl Food & Beverage Serving Services,Index,55.044,2002-06-01
2002 Jul,Food Excl Food & Beverage Serving Services,Index,54.877,2002-07-01
2002 Aug,Food Excl Food & Beverage Serving Services,Index,54.713,2002-08-01
2002 Sep,Food Excl Food & Beverage Serving Services,Index,55.12,2002-09-01
2002 Oct,Food Excl Food & Beverage Serving Services,Index,54.618,2002-10-01
2002 Nov,Food Excl Food & Beverage Serving Services,Index,54.726,2002-11-01
2002 Dec,Food Excl Food & Beverage Serving Services,Index,54.908,2002-12-01
2003 Jan,Food Excl Food & Beverage Serving Services,Index,55.997,2003-01-01
2003 Feb,Food Excl Food & Beverage Serving Services,Index,55.292,2003-02-01
2003 Mar,Food Excl Food & Beverage Serving Services,Index,54.542,2003-03-01
2003 Apr,Food Excl Food & Beverage Serving Services,Index,55.3,2003-04-01
2003 May,Food Excl Food & Beverage Serving Services,Index,55.611,2003-05-01
2003 Jun,Food Excl Food & Beverage Serving Services,Index,55.244,2003-06-01
2003 Jul,Food Excl Food & Beverage Serving Services,Index,55.243,2003-07-01
2003 Aug,Food Excl Food & Beverage Serving Services,Index,55.198,2003-08-01
2003 Sep,Food Excl Food & Beverage Serving Services,Index,55.387,2003-09-01
2003 Oct,Food Excl Food & Beverage Serving Services,Index,55.404,2003-10-01
2003 Nov,Food Excl Food & Beverage Serving Services,Index,55.58,2003-11-01
2003 Dec,Food Excl Food & Beverage Serving Services,Index,55.865,2003-12-01
2004 Jan,Food Excl Food & Beverage Serving Services,Index,56.708,2004-01-01
2004 Feb,Food Excl Food & Beverage Serving Services,Index,57.083,2004-02-01
2004 Mar,Food Excl Food & Beverage Serving Services,Index,56.517,2004-03-01
2004 Apr,Food Excl Food & Beverage Serving Services,Index,56.374,2004-04-01
2004 May,Food Excl Food & Beverage Serving Services,Index,56.559,2004-05-01
2004 Jun,Food Excl Food & Beverage Serving Services,Index,56.608,2004-06-01
2004 Jul,Food Excl Food & Beverage Serving Services,Index,56.855,2004-07-01
2004 Aug,Food Excl Food & Beverage Serving Services,Index,57.015,2004-08-01
2004 Sep,Food Excl Food & Beverage Serving Services,Index,58.664,2004-09-01
2004 Oct,Food Excl Food & Beverage Serving Services,Index,58.072,2004-10-01
2004 Nov,Food Excl Food & Beverage Serving Services,Index,58.065,2004-11-01
2004 Dec,Food Excl Food & Beverage Serving Services,Index,57.968,2004-12-01
2005 Jan,Food Excl Food & Beverage Serving Services,Index,58.28,2005-01-01
2005 Feb,Food Excl Food & Beverage Serving Services,Index,58.714,2005-02-01
2005 Mar,Food Excl Food & Beverage Serving Services,Index,57.973,2005-03-01
2005 Apr,Food Excl Food & Beverage Serving Services,Index,58.145,2005-04-01
2005 May,Food Excl Food & Beverage Serving Services,Index,58.23,2005-05-01
2005 Jun,Food Excl Food & Beverage Serving Services,Index,58.2,2005-06-01
2005 Jul,Food Excl Food & Beverage Serving Services,Index,58.277,2005-07-01
2005 Aug,Food Excl Food & Beverage Serving Services,Index,58.316,2005-08-01
2005 Sep,Food Excl Food & Beverage Serving Services,Index,58.275,2005-09-01
2005 Oct,Food Excl Food & Beverage Serving Services,Index,58.594,2005-10-01
2005 Nov,Food Excl Food & Beverage Serving Services,Index,58.629,2005-11-01
2005 Dec,Food Excl Food & Beverage Serving Services,Index,58.803,2005-12-01
2006 Jan,Food Excl Food & Beverage Serving Services,Index,59.976,2006-01-01
2006 Feb,Food Excl Food & Beverage Serving Services,Index,59.05,2006-02-01
2006 Mar,Food Excl Food & Beverage Serving Services,Index,58.753,2006-03-01
2006 Apr,Food Excl Food & Beverage Serving Services,Index,59.149,2006-04-01
2006 May,Food Excl Food & Beverage Serving Services,Index,59.369,2006-05-01
2006 Jun,Food Excl Food & Beverage Serving Services,Index,59.509,2006-06-01
2006 Jul,Food Excl Food & Beverage Serving Services,Index,59.632,2006-07-01
2006 Aug,Food Excl Food & Beverage Serving Services,Index,59.545,2006-08-01
2006 Sep,Food Excl Food & Beverage Serving Services,Index,59.562,2006-09-01
2006 Oct,Food Excl Food & Beverage Serving Services,Index,59.538,2006-10-01
2006 Nov,Food Excl Food & Beverage Serving Services,Index,59.71,2006-11-01
2006 Dec,Food Excl Food & Beverage Serving Services,Index,60.049,2006-12-01
2007 Jan,Food Excl Food & Beverage Serving Services,Index,61.136,2007-01-01
2007 Feb,Food Excl Food & Beverage Serving Services,Index,61.568,2007-02-01
2007 Mar,Food Excl Food & Beverage Serving Services,Index,60.312,2007-03-01
2007 Apr,Food Excl Food & Beverage Serving Services,Index,60.12,2007-04-01
2007 May,Food Excl Food & Beverage Serving Services,Index,60.592,2007-05-01
2007 Jun,Food Excl Food & Beverage Serving Services,Index,61.051,2007-06-01
2007 Jul,Food Excl Food & Beverage Serving Services,Index,61.858,2007-07-01
2007 Aug,Food Excl Food & Beverage Serving Services,Index,62.092,2007-08-01
2007 Sep,Food Excl Food & Beverage Serving Services,Index,62.474,2007-09-01
2007 Oct,Food Excl Food & Beverage Serving Services,Index,62.902,2007-10-01
2007 Nov,Food Excl Food & Beverage Serving Services,Index,63.742,2007-11-01
2007 Dec,Food Excl Food & Beverage Serving Services,Index,64.881,2007-12-01
2008 Jan,Food Excl Food & Beverage Serving Services,Index,65.492,2008-01-01
2008 Feb,Food Excl Food & Beverage Serving Services,Index,66.569,2008-02-01
2008 Mar,Food Excl Food & Beverage Serving Services,Index,66.281,2008-03-01
2008 Apr,Food Excl Food & Beverage Serving Services,Index,66.71,2008-04-01
2008 May,Food Excl Food & Beverage Serving Services,Index,67.522,2008-05-01
2008 Jun,Food Excl Food & Beverage Serving Services,Index,68.039,2008-06-01
2008 Jul,Food Excl Food & Beverage Serving Services,Index,68.588,2008-07-01
2008 Aug,Food Excl Food & Beverage Serving Services,Index,68.807,2008-08-01
2008 Sep,Food Excl Food & Beverage Serving Services,Index,69.048,2008-09-01
2008 Oct,Food Excl Food & Beverage Serving Services,Index,69.09,2008-10-01
2008 Nov,Food Excl Food & Beverage Serving Services,Index,69.376,2008-11-01
2008 Dec,Food Excl Food & Beverage Serving Services,Index,69.536,2008-12-01
2009 Jan,Food Excl Food & Beverage Serving Services,Index,70.311,2009-01-01
2009 Feb,Food Excl Food & Beverage Serving Services,Index,69.803,2009-02-01
2009 Mar,Food Excl Food & Beverage Serving Services,Index,69.763,2009-03-01
2009 Apr,Food Excl Food & Beverage Serving Services,Index,69.506,2009-04-01
2009 May,Food Excl Food & Beverage Serving Services,Index,69.495,2009-05-01
2009 Jun,Food Excl Food & Beverage Serving Services,Index,69.401,2009-06-01
2009 Jul,Food Excl Food & Beverage Serving Services,Index,69.423,2009-07-01
2009 Aug,Food Excl Food & Beverage Serving Services,Index,69.237,2009-08-01
2009 Sep,Food Excl Food & Beverage Serving Services,Index,69.456,2009-09-01
2009 Oct,Food Excl Food & Beverage Serving Services,Index,69.687,2009-10-01
2009 Nov,Food Excl Food & Beverage Serving Services,Index,69.742,2009-11-01
2009 Dec,Food Excl Food & Beverage Serving Services,Index,69.655,2009-12-01
2010 Jan,Food Excl Food & Beverage Serving Services,Index,69.971,2010-01-01
2010 Feb,Food Excl Food & Beverage Serving Services,Index,71.138,2010-02-01
2010 Mar,Food Excl Food & Beverage Serving Services,Index,70.672,2010-03-01
2010 Apr,Food Excl Food & Beverage Serving Services,Index,70.832,2010-04-01
2010 May,Food Excl Food & Beverage Serving Services,Index,70.985,2010-05-01
2010 Jun,Food Excl Food & Beverage Serving Services,Index,70.929,2010-06-01
2010 Jul,Food Excl Food & Beverage Serving Services,Index,71.339,2010-07-01
2010 Aug,Food Excl Food & Beverage Serving Services,Index,71.581,2010-08-01
2010 Sep,Food Excl Food & Beverage Serving Services,Index,71.647,2010-09-01
2010 Oct,Food Excl Food & Beverage Serving Services,Index,71.815,2010-10-01
2010 Nov,Food Excl Food & Beverage Serving Services,Index,72.001,2010-11-01
2010 Dec,Food Excl Food & Beverage Serving Services,Index,71.953,2010-12-01
2011 Jan,Food Excl Food & Beverage Serving Services,Index,73.286,2011-01-01
2011 Feb,Food Excl Food & Beverage Serving Services,Index,73.793,2011-02-01
2011 Mar,Food Excl Food & Beverage Serving Services,Index,73.029,2011-03-01
2011 Apr,Food Excl Food & Beverage Serving Services,Index,73.337,2011-04-01
2011 May,Food Excl Food & Beverage Serving Services,Index,73.211,2011-05-01
2011 Jun,Food Excl Food & Beverage Serving Services,Index,73.581,2011-06-01
2011 Jul,Food Excl Food & Beverage Serving Services,Index,73.512,2011-07-01
2011 Aug,Food Excl Food & Beverage Serving Services,Index,73.682,2011-08-01
2011 Sep,Food Excl Food & Beverage Serving Services,Index,73.974,2011-09-01
2011 Oct,Food Excl Food & Beverage Serving Services,Index,74.291,2011-10-01
2011 Nov,Food Excl Food & Beverage Serving Services,Index,74.481,2011-11-01
2011 Dec,Food Excl Food & Beverage Serving Services,Index,74.978,2011-12-01
2012 Jan,Food Excl Food & Beverage Serving Services,Index,76.618,2012-01-01
2012 Feb,Food Excl Food & Beverage Serving Services,Index,75.097,2012-02-01
2012 Mar,Food Excl Food & Beverage Serving Services,Index,74.923,2012-03-01
2012 Apr,Food Excl Food & Beverage Serving Services,Index,75.023,2012-04-01
2012 May,Food Excl Food & Beverage Serving Services,Index,75.136,2012-05-01
2012 Jun,Food Excl Food & Beverage Serving Services,Index,75.235,2012-06-01
2012 Jul,Food Excl Food & Beverage Serving Services,Index,75.479,2012-07-01
2012 Aug,Food Excl Food & Beverage Serving Services,Index,75.588,2012-08-01
2012 Sep,Food Excl Food & Beverage Serving Services,Index,75.617,2012-09-01
2012 Oct,Food Excl Food & Beverage Serving Services,Index,75.683,2012-10-01
2012 Nov,Food Excl Food & Beverage Serving Services,Index,75.802,2012-11-01
2012 Dec,Food Excl Food & Beverage Serving Services,Index,76.119,2012-12-01
2013 Jan,Food Excl Food & Beverage Serving Services,Index,76.819,2013-01-01
2013 Feb,Food Excl Food & Beverage Serving Services,Index,77.629,2013-02-01
2013 Mar,Food Excl Food & Beverage Serving Services,Index,76.404,2013-03-01
2013 Apr,Food Excl Food & Beverage Serving Services,Index,76.49,2013-04-01
2013 May,Food Excl Food & Beverage Serving Services,Index,76.872,2013-05-01
2013 Jun,Food Excl Food & Beverage Serving Services,Index,76.888,2013-06-01
2013 Jul,Food Excl Food & Beverage Serving Services,Index,77.218,2013-07-01
2013 Aug,Food Excl Food & Beverage Serving Services,Index,77.256,2013-08-01
2013 Sep,Food Excl Food & Beverage Serving Services,Index,77.392,2013-09-01
2013 Oct,Food Excl Food & Beverage Serving Services,Index,77.575,2013-10-01
2013 Nov,Food Excl Food & Beverage Serving Services,Index,77.81,2013-11-01
2013 Dec,Food Excl Food & Beverage Serving Services,Index,78.225,2013-12-01
2014 Jan,Food Excl Food & Beverage Serving Services,Index,79.496,2014-01-01
2014 Feb,Food Excl Food & Beverage Serving Services,Index,78.75,2014-02-01
2014 Mar,Food Excl Food & Beverage Serving Services,Index,78.771,2014-03-01
2014 Apr,Food Excl Food & Beverage Serving Services,Index,78.918,2014-04-01
2014 May,Food Excl Food & Beverage Serving Services,Index,79.281,2014-05-01
2014 Jun,Food Excl Food & Beverage Serving Services,Index,79.193,2014-06-01
2014 Jul,Food Excl Food & Beverage Serving Services,Index,79.359,2014-07-01
2014 Aug,Food Excl Food & Beverage Serving Services,Index,79.566,2014-08-01
2014 Sep,Food Excl Food & Beverage Serving Services,Index,79.732,2014-09-01
2014 Oct,Food Excl Food & Beverage Serving Services,Index,79.891,2014-10-01
2014 Nov,Food Excl Food & Beverage Serving Services,Index,80.115,2014-11-01
2014 Dec,Food Excl Food & Beverage Serving Services,Index,80.273,2014-12-01
2015 Jan,Food Excl Food & Beverage Serving Services,Index,80.741,2015-01-01
2015 Feb,Food Excl Food & Beverage Serving Services,Index,81.209,2015-02-01
2015 Mar,Food Excl Food & Beverage Serving Services,Index,80.313,2015-03-01
2015 Apr,Food Excl Food & Beverage Serving Services,Index,80.263,2015-04-01
2015 May,Food Excl Food & Beverage Serving Services,Index,80.089,2015-05-01
2015 Jun,Food Excl Food & Beverage Serving Services,Index,80.059,2015-06-01
2015 Jul,Food Excl Food & Beverage Serving Services,Index,80.042,2015-07-01
2015 Aug,Food Excl Food & Beverage Serving Services,Index,80.214,2015-08-01
2015 Sep,Food Excl Food & Beverage Serving Services,Index,80.394,2015-09-01
2015 Oct,Food Excl Food & Beverage Serving Services,Index,80.669,2015-10-01
2015 Nov,Food Excl Food & Beverage Serving Services,Index,80.511,2015-11-01
2015 Dec,Food Excl Food & Beverage Serving Services,Index,80.703,2015-12-01
2016 Jan,Food Excl Food & Beverage Serving Services,Index,81.986,2016-01-01
2016 Feb,Food Excl Food & Beverage Serving Services,Index,82.507,2016-02-01
2016 Mar,Food Excl Food & Beverage Serving Services,Index,82.182,2016-03-01
2016 Apr,Food Excl Food & Beverage Serving Services,Index,82.285,2016-04-01
2016 May,Food Excl Food & Beverage Serving Services,Index,82.188,2016-05-01
2016 Jun,Food Excl Food & Beverage Serving Services,Index,82.19,2016-06-01
2016 Jul,Food Excl Food & Beverage Serving Services,Index,82.262,2016-07-01
2016 Aug,Food Excl Food & Beverage Serving Services,Index,82.033,2016-08-01
2016 Sep,Food Excl Food & Beverage Serving Services,Index,82.524,2016-09-01
2016 Oct,Food Excl Food & Beverage Serving Services,Index,82.367,2016-10-01
2016 Nov,Food Excl Food & Beverage Serving Services,Index,82.458,2016-11-01
2016 Dec,Food Excl Food & Beverage Serving Services,Index,82.65,2016-12-01
2017 Jan,Food Excl Food & Beverage Serving Services,Index,83.592,2017-01-01
2017 Feb,Food Excl Food & Beverage Serving Services,Index,83.377,2017-02-01
2017 Mar,Food Excl Food & Beverage Serving Services,Index,82.921,2017-03-01
2017 Apr,Food Excl Food & Beverage Serving Services,Index,83.164,2017-04-01
2017 May,Food Excl Food & Beverage Serving Services,Index,83.329,2017-05-01
2017 Jun,Food Excl Food & Beverage Serving Services,Index,83.121,2017-06-01
2017 Jul,Food Excl Food & Beverage Serving Services,Index,83.442,2017-07-01
2017 Aug,Food Excl Food & Beverage Serving Services,Index,82.968,2017-08-01
2017 Sep,Food Excl Food & Beverage Serving Services,Index,83.419,2017-09-01
2017 Oct,Food Excl Food & Beverage Serving Services,Index,83.713,2017-10-01
2017 Nov,Food Excl Food & Beverage Serving Services,Index,83.682,2017-11-01
2017 Dec,Food Excl Food & Beverage Serving Services,Index,83.673,2017-12-01
2018 Jan,Food Excl Food & Beverage Serving Services,Index,84.187,2018-01-01
2018 Feb,Food Excl Food & Beverage Serving Services,Index,84.627,2018-02-01
2018 Mar,Food Excl Food & Beverage Serving Services,Index,84.005,2018-03-01
2018 Apr,Food Excl Food & Beverage Serving Services,Index,83.984,2018-04-01
2018 May,Food Excl Food & Beverage Serving Services,Index,84.093,2018-05-01
2018 Jun,Food Excl Food & Beverage Serving Services,Index,84.424,2018-06-01
2018 Jul,Food Excl Food & Beverage Serving Services,Index,84.71,2018-07-01
2018 Aug,Food Excl Food & Beverage Serving Services,Index,84.385,2018-08-01
2018 Sep,Food Excl Food & Beverage Serving Services,Index,84.725,2018-09-01
2018 Oct,Food Excl Food & Beverage Serving Services,Index,84.758,2018-10-01
2018 Nov,Food Excl Food & Beverage Serving Services,Index,84.773,2018-11-01
2018 Dec,Food Excl Food & Beverage Serving Services,Index,84.784,2018-12-01
2019 Jan,Food Excl Food & Beverage Serving Services,Index,85.294,2019-01-01
2019 Feb,Food Excl Food & Beverage Serving Services,Index,85.436,2019-02-01
2019 Mar,Food Excl Food & Beverage Serving Services,Index,85.246,2019-03-01
2019 Apr,Food Excl Food & Beverage Serving Services,Index,84.994,2019-04-01
2019 May,Food Excl Food & Beverage Serving Services,Index,85.064,2019-05-01
2019 Jun,Food Excl Food & Beverage Serving Services,Index,85.083,2019-06-01
2019 Jul,Food Excl Food & Beverage Serving Services,Index,85.128,2019-07-01
2019 Aug,Food Excl Food & Beverage Serving Services,Index,85.346,2019-08-01
2019 Sep,Food Excl Food & Beverage Serving Services,Index,85.625,2019-09-01
2019 Oct,Food Excl Food & Beverage Serving Services,Index,85.891,2019-10-01
2019 Nov,Food Excl Food & Beverage Serving Services,Index,85.817,2019-11-01
2019 Dec,Food Excl Food & Beverage Serving Services,Index,85.968,2019-12-01
2020 Jan,Food Excl Food & Beverage Serving Services,Index,86.817,2020-01-01
2020 Feb,Food Excl Food & Beverage Serving Services,Index,86.976,2020-02-01
